Distance,PosLocalX,PosLocalY,InverseRadius,RefinedPosLon,RefinedPosLat,TimeStamp,GPS_Speed,PosLat,PosLon,AccelForward,AccelLateral,AngleTrack,AngleRateZ,GPS_Height,GPS_PosAccuracy,RPM,Pedal_throttle,Pedal_brake,Steer_angle,OilT,Logger Temperature,External Voltage,AccelerometerX,AccelerometerY,AccelerometerZ,GyroX,GyroY,GyroZ,ECU_THROTTLE,ECU_ENG_TMP,ECU_WS_FL,ECU_WS_FR,ECU_WS_RL,ECU_WS_RR,ECU_BRK_SW,ECU_CLUTCH,ECU_MAF,ECU_STEER_SPD,ECU_HILL_CRTL,ECU_TCS_OFF,ECU_TCS_ESP,ECU_V_BATTERY,GPS_Nsat,GPS_Slope,GPS_SpdAccuracy,GPS_FreqAccuracy,GPS_Elevation,AccelX,AccelY,GripUsage,PositionIndex,LapNo,timeDelta
7255.698,1.00435975775,1.11616685175,-0.0,128.29133525,38.0004526467,0.0263019824376,153.8,38.0,128.291,0.167,-0.034,359.468,-0.48,325.0,1.02,5704,99.0,0.0,1.768,162.0,35.632,14.046,-0.487,-0.012,-0.03,-2.295,4.509,-1.596,90.562,102.0,155.51,155.486,152.91,152.761,0.0,0.0,234.684,0.0,0.0,0.0,3.0,13.686,13.5,-0.619,0.19,0.0,324.005,1.637,-0.334,17.279,1.15,2,6.2715282248e-05
7257.837,0.979895256405,3.2545168412,-0.0,128.291334971,38.000471856,0.0763019824376,154.1,38.0,128.291,0.168,-0.02,359.473,-0.274,325.0,1.02,5715,99.0,0.0,1.798,162.0,35.628,14.047,-0.473,-0.053,-0.01,-0.557,3.116,-1.201,90.449,102.0,155.797,155.799,153.073,153.049,0.0,0.0,235.246,0.0,0.0,0.0,3.0,13.696,13.0,-0.544,0.19,0.0,323.97,1.644,-0.194,17.327,3.286,2,-0.000412438908376
7259.979,0.956853415764,5.3962756826,-0.0,128.291334708,38.0004910958,0.126301982438,154.4,38.0,128.291,0.162,-0.006,359.468,-0.079,325.0,1.02,5724,99.0,0.0,1.678,162.0,35.625,14.047,-0.461,0.001,-0.106,-2.696,2.436,-1.815,90.137,102.0,155.898,155.974,153.299,153.174,0.0,0.0,234.372,1.599,0.0,0.0,3.0,13.696,13.0,-0.501,0.19,0.0,323.94,1.587,-0.056,17.155,5.426,2,-0.000256218002363
7262.142,0.935082423292,7.55919284273,-0.0,128.29133446,38.0005105257,0.176301982438,154.7,38.001,128.291,0.156,0.008,359.462,0.115,325.0,1.02,5733,99.0,0.0,1.558,162.0,35.621,14.048,-0.521,-0.041,-0.161,-1.826,2.48,-2.532,89.824,102.0,155.998,156.15,153.525,153.3,0.0,0.0,233.498,3.198,0.0,0.0,3.0,13.696,13.0,-0.458,0.19,0.0,323.91,1.531,0.081,16.764,7.587,2,0.000900035412044
7264.311,0.914671192108,9.72840865077,-0.0,128.291334227,38.0005300122,0.226301982438,154.95,38.001,128.291,0.147,0.016,359.456,0.207,325.0,1.02,5742,99.0,0.0,1.667,162.0,35.618,14.048,-0.472,-0.041,-0.036,-3.818,1.819,-1.521,89.756,102.0,156.249,156.424,153.737,153.562,0.0,0.0,233.686,1.599,0.0,0.0,3.0,13.658,13.0,-0.438,0.19,0.0,323.885,1.441,0.153,16.302,9.754,2,0.00283207844445
7266.513,0.895177279687,11.9302376485,-0.0,128.291334005,38.0005497917,0.276301982438,155.2,38.001,128.291,0.138,0.023,359.45,0.299,325.0,1.02,5750,99.0,0.0,1.776,162.0,35.614,14.049,-0.457,-0.079,0.012,-1.404,-1.77,-1.287,89.687,102.0,156.499,156.697,153.949,153.825,0.0,0.0,233.874,0.0,0.0,0.0,3.0,13.619,13.0,-0.418,0.19,0.0,323.86,1.35,0.225,15.764,11.954,2,0.00211358836892
7268.67,0.876667985372,14.0869661635,-0.0,128.291333794,38.000569166,0.326301982438,155.45,38.001,128.291,0.131,0.025,359.439,0.322,325.0,1.02,5760,99.0,0.0,1.787,162.0,35.611,14.049,-0.486,-0.113,-0.07,-3.208,-6.069,-1.298,89.687,102.0,156.774,156.885,154.186,154.112,0.0,0.0,233.312,0.0,0.0,0.0,3.0,13.568,13.0,-0.441,0.185,0.0,323.85,1.284,0.25,15.281,14.109,2,-3.8410676438e-05
7270.828,0.85867095326,16.2454213799,-0.0,128.291333589,38.0005885558,0.376301982438,155.7,38.001,128.291,0.124,0.028,359.427,0.345,325.0,1.02,5769,99.0,0.0,1.798,162.0,35.608,14.05,-0.474,-0.123,0.14,-1.186,-7.265,-2.641,89.687,102.0,157.049,157.073,154.423,154.398,0.0,0.0,232.749,0.0,0.0,0.0,3.0,13.517,13.0,-0.464,0.18,0.0,323.84,1.219,0.275,14.837,16.265,2,-0.00146674172738
7273.021,0.841056844003,18.4377618893,-0.0,128.291333388,38.00060825,0.426301982438,155.9,38.001,128.291,0.122,0.03,359.416,0.379,325.0,1.02,5772,99.0,0.0,1.768,162.0,35.604,14.05,-0.468,0.037,-0.189,-5.692,-4.213,-0.499,89.687,102.0,157.273,157.286,154.586,154.517,0.0,0.0,234.374,0.0,0.0,0.0,3.0,13.548,13.0,-0.467,0.18,0.0,323.84,1.197,0.297,14.45,18.456,2,-0.00216275072332
7275.279,0.824149822978,20.6964441762,-0.0,128.291333195,38.0006285402,0.476301982438,156.1,38.001,128.291,0.12,0.033,359.405,0.413,325.0,1.02,5775,99.0,0.0,1.738,162.0,35.601,14.05,-0.499,0.036,-0.099,-0.289,-12.972,-1.406,89.687,102.0,157.498,157.499,154.748,154.635,0.0,0.0,235.999,0.0,0.0,0.0,3.0,13.579,13.0,-0.47,0.18,0.0,323.84,1.175,0.319,14.113,20.712,2,-0.0036410826994
