Distance,PosLocalX,PosLocalY,InverseRadius,RefinedPosLon,RefinedPosLat,TimeStamp,GPS_Speed,PosLat,PosLon,AccelForward,AccelLateral,DeviceAccelForward,DeviceAccelLateral,DeviceAccelVertical,AngleTrack,AngleRateZ,GPS_NumSat,GPS_PosAccuracy,RPM,Pedal_throttle,Steer_angle,Gear,OilT,Internal Batte,External Batte,ECU_THROTTLE,ECU_ENG_TMP,ECU_WS_FL,ECU_WS_FR,ECU_WS_RL,ECU_WS_RR,ECU_BRK_SW,ECU_MAF,ECU_BRK_PRES,ECU_STEER_SPD,ECU_HILL_CRTL,ECU_TCS_ESP,ECU_V_BATTERY,GPS_Slope,GPS_Elevation,AccelX,AccelY,AccelCombined,GripUsage,Pedal_brake,PositionIndex,LapNo,timeDelta
5333.916,0.974901080688,2.12805715453,0.0,126.413236957,34.7385647568,0.0316885131004,125.05,34.739,126.413,0.198,-0.056,-3.55,3.345,-2.454,89.176,-0.904,10.0,2.2,6136,99.0,-0.688,5,132.0,4.174,12.238,83.2,81.0,126.275,125.965,124.305,124.32,0.0,248.675,0.34,0.0,0.0,3.0,12.3,0.201,1.661,0.197736079951,-0.0554762390373,0.205,21.197,0.0,1.105,2,0.0
5335.671,2.7299847338,2.1596839058,0.0,126.413256143,34.7385650409,0.0816885131004,125.4,34.739,126.413,0.193,-0.058,-3.552,3.34,-2.468,89.139,-0.939,10.0,2.2,6158,99.0,-0.694,5,132.0,4.174,12.238,82.965,81.0,126.512,126.423,124.631,124.708,0.0,249.014,0.323,0.0,0.0,3.0,12.3,0.201,1.656,0.192739139302,-0.0578217417907,0.201,20.785,0.0,2.859,2,0.0
5337.43,4.48879937117,2.19269297749,0.0,126.41327537,34.7385653374,0.1316885131,125.75,34.739,126.413,0.187,-0.06,-3.556,3.333,-2.481,89.1,-0.973,10.0,2.2,6178,99.0,-0.708,5,132.0,4.174,12.238,82.717,81.0,126.753,126.905,124.935,125.08,0.0,248.775,0.305,0.0,0.0,3.0,12.3,0.201,1.651,0.18713032837,-0.0601672445442,0.197,20.294,0.0,4.617,2,0.0
5339.193,6.25113226452,2.22704492042,0.0,126.413294635,34.738565646,0.1816885131,126.1,34.739,126.413,0.18,-0.062,-3.561,3.324,-2.473,89.064,-1.002,10.0,2.2,6191,99.0,-0.725,5,132.0,4.174,12.238,82.45,81.0,127.023,127.262,125.315,125.423,0.0,247.7,0.3,0.0,0.0,3.0,12.3,0.201,1.65,0.180297776871,-0.0622068121558,0.191,19.724,0.0,6.378,2,0.0
5340.96,8.01727560612,2.2630580545,0.0,126.413313942,34.7385659695,0.2316885131,126.45,34.739,126.413,0.173,-0.064,-3.566,3.314,-2.457,89.027,-1.029,10.0,2.2,6200,99.0,-0.743,5,132.0,4.174,12.238,82.175,81.0,127.305,127.57,125.725,125.755,0.0,246.3,0.3,0.0,0.0,3.0,12.3,0.201,1.65,0.172853355089,-0.0639404446257,0.184,19.075,0.0,8.143,2,0.0
5342.73,9.78773411587,2.30118652307,0.0,126.413333296,34.738566312,0.2816885131,126.8,34.739,126.413,0.164,-0.065,-3.569,3.308,-2.424,88.992,-1.053,10.0,2.2,6215,99.0,-0.886,5,132.0,4.174,12.238,81.888,81.0,127.669,127.754,126.108,126.1,0.0,243.794,0.3,0.922,0.0,3.0,12.277,0.199,1.65,0.16428717112,-0.0653681419539,0.177,18.366,0.0,9.912,2,0.0
5344.505,11.5623434731,2.34126698814,0.0,126.413352695,34.7385666721,0.3316885131,127.15,34.739,126.413,0.155,-0.067,-3.571,3.304,-2.385,88.958,-1.076,10.0,2.2,6233,99.0,-1.078,5,132.0,4.174,12.238,81.597,81.0,128.065,127.89,126.48,126.45,0.0,240.858,0.3,2.202,0.0,3.0,12.245,0.198,1.65,0.155313073628,-0.0664899041403,0.169,17.605,0.0,11.686,2,0.0
5346.284,13.3404047707,2.38282322178,0.0,126.413372132,34.7385670454,0.3816885131,127.431,34.739,126.413,0.146,-0.067,-3.568,3.305,-2.361,88.923,-1.089,10.0,2.2,6252,99.0,-1.187,5,132.0,4.174,12.238,81.3,81.0,128.454,128.23,126.846,126.823,0.0,237.3,0.3,3.078,0.0,3.0,12.223,0.196,1.654,0.145625127473,-0.0671017744238,0.16,16.825,0.0,13.463,2,0.0
5348.064,15.1196837019,2.42569710084,0.0,126.413391582,34.7385674305,0.4316885131,127.685,34.739,126.413,0.136,-0.067,-3.562,3.307,-2.344,88.889,-1.097,10.0,2.2,6272,99.0,-1.263,5,132.0,4.174,12.238,81.0,81.0,128.84,128.65,127.21,127.205,0.0,233.5,0.3,3.798,0.0,3.0,12.205,0.195,1.659,0.135733224556,-0.0675096879462,0.152,16.037,0.0,15.241,2,0.0
5349.843,16.8980529679,2.46992855071,0.0,126.413411023,34.7385678279,0.4816885131,127.877,34.739,126.413,0.127,-0.067,-3.553,3.308,-2.354,88.855,-1.089,10.0,2.2,6289,99.0,-1.271,5,132.0,4.174,12.238,80.527,81.0,129.154,129.039,127.531,127.554,0.0,232.833,0.3,3.078,0.0,3.0,12.2,0.194,1.664,0.126759127065,-0.0671017744238,0.143,15.279,0.0,17.019,2,0.0
5351.628,18.6826502945,2.51573438779,0.0,126.413430531,34.7385682394,0.5316885131,128.045,34.739,126.413,0.118,-0.067,-3.543,3.309,-2.374,88.82,-1.074,10.0,2.2,6303,99.0,-1.253,5,132.0,4.174,12.238,79.987,81.0,129.44,129.415,127.835,127.89,0.0,233.385,0.3,1.798,0.0,3.0,12.2,0.192,1.669,0.118192943096,-0.0664899041403,0.136,14.564,0.0,18.803,2,0.0
5353.43,20.4837863174,2.56336691722,0.0,126.413450221,34.7385686672,0.5816885131,128.224,34.739,126.413,0.112,-0.065,-3.543,3.306,-2.402,88.788,-1.053,10.0,2.2,6307,75.834,-1.248,5,132.0,4.174,12.238,79.345,81.0,129.655,129.725,128.149,128.202,0.0,235.722,0.3,0.922,0.0,3.0,12.223,0.191,1.674,0.111666326739,-0.0653681419539,0.129,13.929,0.0,20.604,2,0.0
5355.239,22.2924649009,2.61247967573,0.0,126.413469993,34.7385691084,0.6316885131,128.408,34.739,126.413,0.106,-0.064,-3.546,3.302,-2.433,88.757,-1.03,10.0,2.2,6306,43.659,-1.248,5,132.0,4.174,12.237,78.663,81.0,129.843,130.01,128.466,128.505,0.0,238.752,0.3,0.202,0.0,3.0,12.256,0.19,1.679,0.106057515807,-0.0639404446257,0.124,13.39,0.0,22.412,2,0.0
5357.038,24.0909421263,2.66247838483,0.0,126.413489653,34.7385695576,0.6816885131,128.581,34.739,126.413,0.103,-0.062,-3.575,3.296,-2.455,88.728,-0.996,10.0,2.2,6325,22.176,-1.201,5,132.0,4.174,12.237,70.405,81.0,129.652,129.861,128.667,128.595,0.0,212.767,0.3,0.0,0.0,3.0,12.301,0.191,1.68,0.102998164389,-0.0621048337752,0.12,12.98,0.0,24.21,2,0.0
5358.829,25.8813303834,2.71360708822,0.0,126.413509225,34.7385700169,0.7316885131,128.748,34.739,126.414,0.101,-0.06,-3.613,3.289,-2.473,88.699,-0.959,10.0,2.2,6350,4.851,-1.136,5,132.0,4.174,12.237,59.2,81.0,129.315,129.544,128.822,128.603,0.0,175.5,0.3,0.0,0.0,3.0,12.351,0.192,1.68,0.101060575158,-0.0601672445442,0.118,12.715,0.0,26.0,2,0.0
5360.625,27.675826118,2.76649610754,0.0,126.413528841,34.738570492,0.7816885131,128.88,34.739,126.414,0.102,-0.058,-3.667,3.281,-2.485,88.671,-0.92,10.0,2.2,6356,1.357,-1.116,5,132.0,4.174,12.237,43.912,81.0,129.045,129.034,128.807,128.556,0.0,122.621,0.3,0.0,0.0,3.0,12.354,0.194,1.684,0.101978380583,-0.0576177850296,0.117,12.603,0.0,27.794,2,0.0
5362.426,29.4763553786,2.82096913627,0.0,126.413548524,34.7385709813,0.8316885131,128.997,34.739,126.414,0.104,-0.055,-3.727,3.272,-2.494,88.642,-0.882,10.0,2.2,6355,3.242,-1.114,5,132.0,4.174,12.237,27.038,81.0,128.803,128.449,128.727,128.487,0.0,63.671,0.3,0.0,0.0,3.0,12.339,0.195,1.689,0.104017948195,-0.0549663471344,0.118,12.65,0.0,29.595,2,0.0
5364.23,31.2793582436,2.87644170614,0.0,126.413568234,34.7385714797,0.8816885131,129.149,34.739,126.414,0.109,-0.052,-3.762,3.265,-2.503,88.613,-0.836,10.0,2.2,6355,26.31,-0.985,5,132.0,4.174,12.236,22.67,81.0,129.097,128.357,128.597,128.45,0.0,46.081,0.3,0.936,0.0,3.0,12.322,0.198,1.69,0.108810932082,-0.0522129308587,0.121,12.842,0.0,31.398,2,0.0
5366.036,33.084311812,2.93276269443,0.0,126.413587965,34.7385719856,0.9316885131,129.314,34.739,126.414,0.115,-0.049,-3.787,3.26,-2.512,88.585,-0.786,10.0,2.2,6355,57.615,-0.808,5,132.0,4.174,12.236,23.166,81.0,129.599,128.457,128.447,128.425,0.0,44.574,0.3,2.236,0.0,3.0,12.305,0.201,1.69,0.114521721395,-0.0493575362023,0.125,13.174,0.0,33.203,2,0.0
5367.845,34.8923490512,2.99001442543,0.0,126.41360773,34.7385724999,0.9816885131,129.527,34.739,126.414,0.122,-0.046,-3.764,3.264,-2.515,88.556,-0.737,10.0,2.2,6126,78.123,-0.542,5,132.0,4.174,12.236,30.397,81.0,130.316,129.347,128.531,128.598,0.0,65.339,0.3,3.104,0.0,3.0,12.347,0.205,1.686,0.122170099939,-0.0462981847848,0.131,13.617,0.0,35.011,2,0.0
5369.657,36.7038815682,3.04817111316,0.0,126.413627532,34.7385730223,1.0316885131,129.76,34.739,126.414,0.13,-0.043,-3.721,3.272,-2.516,88.528,-0.687,10.0,2.2,5808,94.433,-0.242,5,132.0,4.174,12.236,40.247,81.0,131.116,130.545,128.706,128.85,0.0,94.764,0.3,3.804,0.0,3.0,12.412,0.209,1.681,0.130430348766,-0.0432388333673,0.137,14.162,0.0,36.822,2,0.0
5371.473,38.5188997317,3.10714438189,0.0,126.413647374,34.7385735521,1.0816885131,130.005,34.739,126.414,0.139,-0.04,-3.665,3.29,-2.502,88.502,-0.635,10.0,2.2,5448,99.0,-0.083,5,132.0,4.174,12.236,48.95,81.0,131.097,130.885,129.147,129.255,0.0,116.642,0.3,3.064,0.0,3.0,12.408,0.214,1.68,0.138792575974,-0.0400775035692,0.144,14.769,0.0,38.638,2,0.0
5373.292,40.337316927,3.1668386665,0.0,126.413667252,34.7385740884,1.1316885131,130.255,34.739,126.414,0.147,-0.037,-3.604,3.312,-2.482,88.477,-0.581,10.0,2.2,5071,99.0,0.022,5,132.0,4.174,12.235,57.208,81.0,130.76,130.893,129.692,129.72,0.0,135.586,0.3,1.764,0.0,3.0,12.378,0.218,1.68,0.147358759943,-0.0369161737712,0.152,15.425,0.0,40.456,2,0.0
