In_x,In_y,Out_x,Out_y,Center_x,Center_y
6.448719962,-0.154276934,-6.448719962,0.154276934,0,0
6.617115159,4.840567468,-6.278756083,5.153706446,0.169179538,4.997136957
6.785443234,9.835412652,-6.108771607,10.15313674,0.338335813,9.994274696
6.953848672,14.83025966,-5.938740625,15.15256102,0.507554024,14.99141034
7.122213029,19.82510588,-5.768776729,20.15198974,0.67671815,19.98854781
7.290608197,24.81995532,-5.598761452,25.15141247,0.845923372,24.9856839
7.459003388,29.81479954,-5.428787294,30.1508418,1.015108047,29.98282067
7.62739857,34.8096435,-5.258797425,35.15027087,1.184300573,34.97995719
7.795788288,39.80449705,-5.088751305,40.14968864,1.353518492,39.97709284
7.964188913,44.79934196,-4.918781999,45.14911728,1.522703457,44.97422962
8.13251156,49.79418732,-4.74880295,50.14854776,1.691854305,49.97136754
8.300916995,54.78903355,-4.578766537,55.14797264,1.861075229,54.96850309
8.469286782,59.78387968,-4.408802644,60.14740127,2.030242069,59.96564047
8.637681954,64.7787299,-4.238792799,65.1468234,2.199444577,64.96277665
8.806077145,69.77357412,-4.068818641,70.14625273,2.368629252,69.95991342
8.974472324,74.76841799,-3.898823342,75.14568171,2.537824491,74.95704985
9.142856615,79.76327103,-3.728782648,80.14510035,2.707036983,79.95418569
9.311262085,84.75811639,-3.558808498,85.14452821,2.876226794,84.9513223
9.479579886,89.75296199,-3.388834296,90.14395878,3.045372795,89.94846038
9.647985319,94.74780744,-3.218792452,95.14338425,3.214596433,94.94559584
9.816360537,99.74265347,-3.048828562,100.1428128,3.383765987,99.94273313
9.984755711,104.7375045,-2.878824146,105.1422343,3.552965782,104.9398694
10.1531509,109.7323487,-2.708849988,110.1416637,3.722150457,109.9370062
10.32154608,114.7271925,-2.538849258,115.1410925,3.89134841,114.9341425
10.48992494,119.722045,-2.368813993,120.1405121,4.060555474,119.9312785
10.65833041,124.7168904,-2.198839841,125.1399399,4.229745285,124.9284151
10.82664821,129.7117367,-2.028865638,130.1393698,4.398891287,129.9255532
10.99505364,134.7065813,-1.858818364,135.1387959,4.568117639,134.9226886
11.16343429,139.7014273,-1.688854477,140.1382243,4.737289907,139.9198258
11.33182947,144.6962791,-1.518855492,145.1376453,4.906486987,144.9169622
11.50022466,149.6911233,-1.348881334,150.1370746,5.075671662,149.9140989
