In_x,In_y,Out_x,Out_y,Center_x,Center_y,PositionIndex
6.448719962,-0.154276934,-6.448719962,0.154276934,0,0,1
6.482383542,0.844690536,-6.414760189,1.15416588,0.033811677,0.999428208,2
6.51602544,1.843657261,-6.380734379,2.154054079,0.06764553,1.99885567,3
6.549722018,2.842623809,-6.34675298,3.153942102,0.101484519,2.998282956,4
6.583418587,3.841595478,-6.312748849,4.153824251,0.135334869,3.997709864,5
6.617115159,4.840567468,-6.278756083,5.153706446,0.169179538,4.997136957,6
6.650724063,5.8395353,-6.244763267,6.153595753,0.202980398,5.996565526,7
6.684420636,6.838505709,-6.210770501,7.153479529,0.236825067,6.995992619,8
6.718117208,7.837479013,-6.176777737,8.153360427,0.270669736,7.99541972,9
6.751813783,8.836445506,-6.142784971,9.153248119,0.304514406,8.994846813,10
6.785443234,9.835412652,-6.108771607,10.15313674,0.338335813,9.994274696,11
6.81911926,10.8343797,-6.074799388,11.15302526,0.372159936,10.99370248,12
6.852815808,11.8333507,-6.040764418,12.15290702,0.406025695,11.99312886,13
6.886512402,12.83232339,-6.006804666,13.15278964,0.439853868,12.99255651,14
6.920185124,13.83128923,-5.972757228,14.15267695,0.473713948,13.99198309,15
6.953848672,14.83025966,-5.938740625,15.15256102,0.507554024,14.99141034,16
6.987514408,15.82923351,-5.904750014,16.15244247,0.541382197,15.99083799,17
7.021210979,16.82820011,-5.870755075,17.15232999,0.575227952,16.99026505,18
7.054907553,17.82716646,-5.836762312,18.15221782,0.609072621,17.98969214,19
7.088516456,18.8261343,-5.802769495,19.15210713,0.642873481,18.98912072,20
7.122213029,19.82510588,-5.768776729,20.15198974,0.67671815,19.98854781,21
7.155909598,20.82407802,-5.734775855,21.15187153,0.710566872,20.98797477,22
7.189606177,21.82304451,-5.700791198,22.1517595,0.744407489,21.987402,23
7.223244815,22.82201511,-5.666768646,23.15164402,0.778238084,22.98682957,24
7.256911652,23.82098941,-5.632805616,24.15152592,0.812053018,23.98625767,25
7.290608197,24.81995532,-5.598761452,25.15141247,0.845923372,24.9856839,26
7.324304789,25.81892224,-5.564801697,26.15130086,0.879751546,25.98511155,27
7.357986707,26.81788792,-5.530754266,27.15118802,0.913616221,26.98453797,28
7.391650287,27.81686047,-5.496794495,28.15107188,0.947427896,27.98396618,29
7.425306799,28.81583275,-5.462754069,29.15095353,0.981276365,28.98339314,30
7.459003388,29.81479954,-5.428787294,30.1508418,1.015108047,29.98282067,31
7.492699946,30.8137691,-5.394768537,31.15072556,1.048965704,30.98224733,32
7.526392175,31.81274247,-5.360775771,32.15060652,1.082808202,31.9816745,33
7.560005423,32.81171079,-5.326782957,33.15049521,1.116611233,32.981103,34
7.593701996,33.81067715,-5.292790191,34.15038304,1.150455903,33.9805301,35
7.62739857,34.8096435,-5.258797425,35.15027087,1.184300573,34.97995719,36
7.66104642,35.80861563,-5.224804631,36.15015458,1.218120894,35.97938511,37
7.694709978,36.80758863,-5.190805913,37.15003669,1.251952033,36.97881266,38
7.728400585,37.80655417,-5.156758486,38.1499237,1.28582105,37.97823893,39
7.762097177,38.80552458,-5.122798732,39.14980859,1.319649223,38.97766659,40
7.795788288,39.80449705,-5.088751305,40.14968864,1.353518492,39.97709284,41
7.829451869,40.80346521,-5.054791533,41.1495769,1.387330168,40.97652105,42
7.863099194,41.80243175,-5.020760297,42.14946491,1.421169448,41.97594833,43
7.896795775,42.80139839,-4.986784328,43.14935303,1.455005724,42.97537571,44
7.930492341,43.80036928,-4.952774765,44.14923577,1.488858788,43.97480252,45
7.964188913,44.79934196,-4.918781999,45.14911728,1.522703457,44.97422962,46
7.997797815,45.79830979,-4.884789184,46.14900659,1.556504316,45.97365819,47
8.03149439,46.79727951,-4.850796419,47.14889105,1.590348986,46.97308528,48
8.065190962,47.79625281,-4.816803652,48.14877195,1.624193655,47.97251238,49
8.098887537,48.79521999,-4.782810886,49.14865895,1.658038325,48.97193947,50
8.13251156,49.79418732,-4.74880295,50.14854776,1.691854305,49.97136754,51
8.166193014,50.79315419,-4.714825306,51.1484361,1.725683854,50.97079514,52
8.199889565,51.79212459,-4.680795766,52.14831864,1.7595469,51.97022161,53
8.233586159,52.79109797,-4.646836012,53.14820056,1.793375074,52.96964927,54
8.26725345,53.7900639,-4.612788571,54.14808797,1.827232439,53.96907593,55
8.300916995,54.78903355,-4.578766537,55.14797264,1.861075229,54.96850309,56
8.334588165,55.7880074,-4.54478136,56.14785409,1.894903402,55.96793074,57
8.368284733,56.78697459,-4.510780993,57.14774082,1.92875187,56.96735771,58
8.401981307,57.78594095,-4.476788227,58.14762865,1.96259654,57.9667848,59
8.43559021,58.78490879,-4.44279541,59.14751797,1.9963974,58.96621338,60
8.469286782,59.78387968,-4.408802644,60.14740127,2.030242069,59.96564047,61
8.502983356,60.7828526,-4.374807204,61.14728246,2.064088076,60.96506753,62
8.536679929,61.781819,-4.340817114,62.14717033,2.097931408,61.96449467,63
8.570313141,62.78078909,-4.30679999,63.14705573,2.131756575,62.96392241,64
8.603985407,63.77976321,-4.272831532,64.14693744,2.165576937,63.96335033,65
8.637681954,64.7787299,-4.238792799,65.1468234,2.199444577,64.96277665,66
8.671378546,65.77769681,-4.204833046,66.14671179,2.23327275,65.9622043,67
8.705055034,66.77666259,-4.170785611,67.14659904,2.267134712,66.96163081,68
8.738718613,67.77563445,-4.136825837,68.14648359,2.300946388,67.96105902,69
8.772380553,68.77460723,-4.102779984,69.14636437,2.334800284,68.9604858,70
8.806077145,69.77357412,-4.068818641,70.14625273,2.368629252,69.95991342,71
8.8397737,70.7725429,-4.034794455,71.14613708,2.402489623,70.95933999,72
8.873460499,71.77151636,-4.000801683,72.14601814,2.436329408,71.95876725,73
8.907079177,72.77048528,-3.966808872,73.14590605,2.470135153,72.95819566,74
8.94077575,73.76945163,-3.932816106,74.14579388,2.503979822,73.95762276,75
8.974472324,74.76841799,-3.898823342,75.14568171,2.537824491,74.95704985,76
9.008114742,75.76738952,-3.864830545,76.1455662,2.571642099,75.95647786,77
9.041778302,76.7663633,-3.830837256,77.1454477,2.605470523,76.9559055,78
9.075474342,77.76532875,-3.796789832,78.14533462,2.639342255,77.95533169,79
9.109170934,78.76429847,-3.762830079,79.1452202,2.673170427,78.95475934,80
9.142856615,79.76327103,-3.728782648,80.14510035,2.707036983,79.95418569,81
9.176520195,80.76223988,-3.694822877,81.14498791,2.740848659,80.9536139,82
9.210172948,81.76120623,-3.660786212,82.14487575,2.774693368,81.95304099,83
9.243869533,82.76017297,-3.626815674,83.14476395,2.808526929,82.95246846,84
9.277566095,83.75914307,-3.59280068,84.1446473,2.842382707,83.95189518,85
9.311262085,84.75811639,-3.558808498,85.14452821,2.876226794,84.9513223,86
9.344871569,85.75708427,-3.5248151,86.14441742,2.910028235,85.95075085,87
9.378568144,86.7560533,-3.490822334,87.14430258,2.943872905,86.95017794,88
9.412264716,87.75502661,-3.456829568,88.14418347,2.977717574,87.94960504,89
9.445961291,88.75399448,-3.422836804,89.14406979,3.011562243,88.94903213,90
9.479579886,89.75296199,-3.388834296,90.14395878,3.045372795,89.94846038,91
9.513266768,90.75192868,-3.354851221,91.14384693,3.079207773,90.9478878,92
9.546963323,91.75089848,-3.320827112,92.14373025,3.113068105,91.94731437,93
9.580658244,92.74987233,-3.286865691,93.1436117,3.146896277,92.94674202,94
9.614321776,93.74883857,-3.252819915,94.14349899,3.180750931,93.94616878,95
9.647985319,94.74780744,-3.218792452,95.14338425,3.214596433,94.94559584,96
9.681661922,95.74678129,-3.184812708,96.1432657,3.248424607,95.9450235,97
9.715358487,96.74574908,-3.150806908,97.14315166,3.282275789,96.94445037,98
9.749055062,97.74471544,-3.116814142,98.14303949,3.31612046,97.94387746,99
9.782663964,98.74368328,-3.082821327,99.1429288,3.349921319,98.94330604,100
9.816360537,99.74265347,-3.048828562,100.1428128,3.383765987,99.94273313,101
9.850057111,100.7416268,-3.014835795,101.1426937,3.417610658,100.9421602,102
9.883753683,101.7405935,-2.980843029,102.1425812,3.451455327,101.9415873,103
9.917381467,102.7395631,-2.946831333,103.1424674,3.485275067,102.9410153,104
9.951059161,103.738537,-2.912857449,104.142349,3.519100856,103.940443,105
9.984755711,104.7375045,-2.878824146,105.1422343,3.552965782,104.9398694,106
10.0184523,105.7364714,-2.844864392,106.1421227,3.586793956,105.9392971,107
10.05212336,106.7354373,-2.810816953,107.1420101,3.620653203,106.9387237,108
10.08578694,107.7344084,-2.776857182,108.1418953,3.654464878,107.9381519,109
10.11945431,108.7333813,-2.742809743,109.1417758,3.688322283,108.9375785,110
10.1531509,109.7323487,-2.708849988,110.1416637,3.722150457,109.9370062,111
10.18684745,110.7313167,-2.67482037,111.1415486,3.756013542,110.9364327,112
10.22052882,111.7302903,-2.640827595,112.1414298,3.789850613,111.93586,113
10.25415293,112.7292598,-2.606834788,113.1413169,3.823659072,112.9352883,114
10.2878495,113.7282261,-2.572842024,114.1412047,3.85750374,113.9347154,115
10.32154608,114.7271925,-2.538849258,115.1410925,3.89134841,114.9341425,116
10.35518307,115.7261634,-2.504856457,116.1409778,3.925163304,115.9335706,117
10.38885155,116.7251372,-2.470863675,117.1408592,3.958993939,116.9329982,118
10.4225481,117.7241033,-2.436821179,118.1407456,3.99286346,117.9324244,119
10.45624469,118.7230724,-2.402861426,119.1406318,4.026691632,118.9318521,120
10.48992494,119.722045,-2.368813993,120.1405121,4.060555474,119.9312785,121
10.52358852,120.7210145,-2.33485422,121.1403989,4.094367151,120.9307067,122
10.5572467,121.7199807,-2.300812128,122.1402866,4.128217287,121.9301337,123
10.59094329,122.7189475,-2.266847022,123.1401749,4.162048134,122.9295612,124
10.62463985,123.7179169,-2.232826598,124.1400588,4.195906625,123.9289878,125
10.65833041,124.7168904,-2.198839841,125.1399399,4.229745285,124.9284151,126
