In_x,In_y,Out_x,Out_y,Center_x,Center_y,PositionIndex
2.071468602,5.823500855,-2.071468602,-5.823500854,0,3.95E-10,1
3.004791844,5.471270668,-1.132492562,-6.174474324,0.936149641,-0.351601828,2
3.938075116,5.119055562,-0.193465242,-6.525432767,1.872304937,-0.703188603,3
4.871397019,4.766824983,0.745511845,-6.876406628,2.808454432,-1.054790823,4
5.804662677,4.41460472,1.684552914,-7.22737021,3.744607795,-1.406382745,5
6.737957764,4.062376576,2.623558645,-7.578341633,4.680758205,-1.757982528,6
7.671237414,3.710158357,3.562587262,-7.929303152,5.616912338,-2.109572398,7
8.604519004,3.357932658,4.50160832,-8.280272148,6.553063662,-2.461169745,8
9.537808878,3.005703255,5.440618318,-8.631244838,7.489213598,-2.812770791,9
10.47108167,2.653482992,6.379652252,-8.982208419,8.42536696,-3.164362714,10
11.40440179,2.30125398,7.318632293,-9.333180718,9.361517044,-3.515963369,11
12.33768507,1.949038874,8.257659613,-9.684139161,10.29767234,-3.867550143,12
13.27095679,1.596793606,9.196675861,-10.03512766,11.23381633,-4.219167026,13
14.20424209,1.244583903,10.13570522,-10.3860807,12.16997365,-4.570748396,14
15.13756696,0.892358066,11.0746829,-10.73704981,13.10612493,-4.922345874,15
16.07084354,0.540141,12.01371544,-11.08801021,14.04227949,-5.273934605,16
17.00414916,0.187905654,12.95270524,-11.43898882,14.9784272,-5.625541583,17
17.93741481,-0.164314609,13.89174631,-11.7899524,15.91458056,-5.977133506,18
18.87072043,-0.516549956,14.8307361,-12.14093101,16.85072827,-6.328740484,19
19.80398609,-0.868770219,15.76977717,-12.49189459,17.78688163,-6.680332407,20
20.73729229,-1.221004007,16.70876756,-12.84287165,18.72302992,-7.031937827,21
21.67056973,-1.573215104,17.64780372,-13.19382607,19.65918673,-7.383520587,22
22.60389364,-1.925443515,18.58678043,-13.54479776,20.59533704,-7.735120639,23
23.53713229,-2.277671685,19.52584258,-13.89576922,21.53148743,-8.086720454,24
24.47044864,-2.629903889,20.464824,-14.2467447,22.46763632,-8.438324296,25
25.40373191,-2.982118995,21.40385132,-14.59770315,23.40379161,-8.789911071,26
26.33705084,-3.334347557,22.34283289,-14.948675,24.33994187,-9.141511277,27
27.27032636,-3.68656782,23.2818641,-15.29963858,25.27609523,-9.493103199,28
28.20361659,-4.038792639,24.22087718,-15.65060668,26.21224689,-9.844699661,29
29.13689707,-4.391014909,25.15990193,-16.00157224,27.1483995,-10.19629358,30
30.07017734,-4.743237862,26.09892636,-16.3525385,28.08455185,-10.54788818,31
31.00347256,-5.095469285,27.0379295,-16.70351321,29.02070103,-10.89949125,32
31.93673822,-5.447689547,27.97697057,-17.05447679,29.95685439,-11.25108317,33
32.87005859,-5.799920577,28.91594886,-17.4054511,30.89300372,-11.60268584,34
33.80334186,-6.152135683,29.85497617,-17.75640954,31.82915902,-11.95427261,35
34.73661522,-6.504380215,30.79399134,-18.1073973,32.76530328,-12.30588876,36
35.66989937,-6.856589349,31.73302227,-18.45834977,33.70146082,-12.65746956,37
36.60322375,-7.208816491,32.67199946,-18.80932019,34.63761161,-13.00906834,38
37.53650703,-7.561031597,33.61102678,-19.16027864,35.5737669,-13.36065512,39
38.46981284,-7.913266886,34.55001642,-19.51125719,36.50991463,-13.71226204,40
39.4030785,-8.265487149,35.48905749,-19.86222077,37.44606799,-14.06385396,41
40.33638411,-8.617722495,36.42804729,-20.21319938,38.3822157,-14.41546094,42
41.26964977,-8.969942758,37.36708836,-20.56416296,39.31836906,-14.76705286,43
42.20295646,-9.322175241,38.30607923,-20.91513871,40.25451785,-15.11865698,44
43.13622701,-9.674388357,39.24512078,-21.26609514,41.19067389,-15.47024175,45
44.06955043,-10.02661807,40.18409699,-21.61706814,42.12682371,-15.82184311,46
45.00279597,-10.37884422,41.12315376,-21.96803759,43.06297487,-16.17344091,47
45.93610543,-10.73107845,42.06214056,-22.31901508,43.999123,-16.52504676,48
46.8693887,-11.08329355,43.00116788,-22.66997353,44.93527829,-16.87663354,49
47.80270229,-11.4355201,43.94015632,-23.02094336,45.8714293,-17.22823173,50
48.73599005,-11.78774036,44.87917528,-23.37190695,46.80758266,-17.57982365,51
49.66927542,-12.13996185,45.81819572,-23.72287173,47.74373557,-17.93141679,52
50.60255387,-12.49218947,46.75721849,-24.07384262,48.67988618,-18.28301604,53
51.53583568,-12.84440838,47.69624441,-24.42480486,49.61604004,-18.63460662,54
52.46913625,-13.19664182,48.63524068,-24.77578157,50.55218847,-18.9862117,55
53.40240191,-13.54886209,49.57428175,-25.12674515,51.48834183,-19.33780362,56
54.33571538,-13.90109513,50.51326542,-25.47772148,52.4244904,-19.68940831,57
55.26899865,-14.25331024,51.45229274,-25.82867992,53.36064569,-20.04099508,58
56.2022794,-14.60555145,52.39130301,-26.17966436,54.29679121,-20.39260791,59
57.13555665,-14.9577626,53.33033933,-26.53061884,55.23294799,-20.74419072,60
58.06888055,-15.30999105,54.26931602,-26.88159057,56.16909828,-21.09579081,61
59.00216382,-15.66220615,55.20834334,-27.23254901,57.10525358,-21.44737758,62
59.93547653,-16.01443943,56.1473276,-27.58352556,58.04140207,-21.79898249,63
60.86874218,-16.36665969,57.08636867,-27.93448914,58.97755543,-22.15057441,64
61.80204206,-16.71889672,58.02536295,-28.28546942,59.9137025,-22.50218307,65
62.73531346,-17.0711153,58.96439954,-28.63643133,60.8498565,-22.85377331,66
63.66862064,-17.42334648,59.90339091,-28.98740577,61.78600577,-23.20537612,67
64.60188839,-17.77556115,60.84243408,-29.33836377,62.72216123,-23.55696246,68
65.53520722,-18.12779263,61.78141356,-29.68933852,63.65831039,-23.90856558,69
66.46845966,-18.48001676,62.72046494,-30.04030596,64.5944623,-24.26016136,70
67.40176291,-18.83225121,63.65945778,-30.39128368,65.53061034,-24.61176745,71
