In_x,In_y,Out_x,Out_y,Center_x,Center_y,PositionIndex
2.071468602,5.823500855,-2.071468602,-5.823500854,0,3.95E-10,1
6.737957764,4.062376576,2.623558645,-7.578341633,4.680758205,-1.757982528,2
11.40440179,2.30125398,7.318632293,-9.333180718,9.361517044,-3.515963369,3
16.07084354,0.540141,12.01371544,-11.08801021,14.04227949,-5.273934605,4
20.73729229,-1.221004007,16.70876756,-12.84287165,18.72302992,-7.031937827,5
25.40373191,-2.982118995,21.40385132,-14.59770315,23.40379161,-8.789911071,6
30.07017734,-4.743237862,26.09892636,-16.3525385,28.08455185,-10.54788818,7
34.73661522,-6.504380215,30.79399134,-18.1073973,32.76530328,-12.30588876,8
39.4030785,-8.265487149,35.48905749,-19.86222077,37.44606799,-14.06385396,9
44.06955043,-10.02661807,40.18409699,-21.61706814,42.12682371,-15.82184311,10
48.73599005,-11.78774036,44.87917528,-23.37190695,46.80758266,-17.57982365,11
53.40240191,-13.54886209,49.57428175,-25.12674515,51.48834183,-19.33780362,12
58.06888055,-15.30999105,54.26931602,-26.88159057,56.16909828,-21.09579081,13
62.73531346,-17.0711153,58.96439954,-28.63643133,60.8498565,-22.85377331,14
67.40176291,-18.83225121,63.65945778,-30.39128368,65.53061034,-24.61176745,15
72.06821066,-20.59336402,68.35453505,-32.146113,70.21137285,-26.36973851,16
76.73465544,-22.3544848,73.0496093,-33.9009503,74.89213237,-28.12771755,17
81.40114021,-24.11561197,77.74463879,-35.65579392,79.5728895,-29.88570294,18
86.06755207,-25.87673369,82.43974526,-37.41063213,84.25364867,-31.64368291,19
90.73400517,-27.63786517,87.13480316,-39.1654801,88.93440417,-33.40167264,20
95.40046362,-29.3989869,91.82986305,-40.92031831,93.61516333,-35.15965261,21
100.0668755,-31.16010863,96.52496952,-42.67515652,98.2959225,-36.91763258,22
104.7333556,-32.92124583,101.2199961,-44.43001018,102.9766759,-38.67562801,23
109.399787,-34.68236184,105.9150873,-46.18484269,107.6574372,-40.43360227,24
114.0662519,-36.4434695,110.6101513,-47.93966689,112.3382016,-42.19156819,25
118.7326986,-38.20461505,115.3052051,-49.69452887,117.0189518,-43.94957196,26
123.3991342,-39.96572983,120.000293,-51.44936015,121.6997136,-45.70754499,27
128.0656132,-41.72686018,124.6953259,-53.20420696,126.3804695,-47.46553357,28
132.732022,-43.48798999,129.3904294,-54.95905326,131.0612257,-49.22352162,29
137.3984643,-45.2491028,134.0855121,-56.71388258,135.7419882,-50.98149269,30
142.0649361,-47.01023639,138.7805497,-58.46873261,140.4227429,-52.7394845,31
146.7313969,-48.77134985,143.4756134,-60.22356261,145.1035052,-54.49745623,32
