In_x,In_y,Out_x,Out_y,Center_x,Center_y,PositionIndex
-0.32515835,6.753781355,0.32515835,-6.753781355,0,0,1
0.673040141,6.813391613,1.323082406,-6.6889136,0.998061274,0.062239007,2
1.671224779,6.873001045,2.321021118,-6.624057877,1.996122948,0.124471584,3
2.669437456,6.932612329,3.318930853,-6.559189007,2.994184155,0.186711661,4
3.667618994,6.992223456,4.316872444,-6.494331439,3.992245719,0.248946008,5
4.665789073,7.051833898,5.314825082,-6.429466588,4.990307077,0.311183655,6
5.663990703,7.111445867,6.312746277,-6.364605002,5.98836849,0.373420433,7
6.662186205,7.171055947,7.310673345,-6.299737441,6.986429775,0.435659253,8
7.660373832,7.230665557,8.308609044,-6.234881524,7.984491438,0.497892016,9
8.658588009,7.290276752,9.306517292,-6.170012751,8.982552651,0.560132001,10
9.656802533,7.349887968,10.30442588,-6.105155086,9.980614209,0.622366441,11
10.65498093,7.409497027,11.30237034,-6.040291011,10.97867563,0.684603008,12
11.65318566,7.469107658,12.30028865,-5.975431609,11.97673716,0.746838025,13
12.65140002,7.528718864,13.29819708,-5.910568665,12.97479855,0.809075099,14
13.64957702,7.588327839,14.29614312,-5.845707597,13.97286007,0.871310121,15
14.64778326,7.64793856,15.29405996,-5.78084865,14.97092161,0.933544955,16
15.64599749,7.707549759,16.29196826,-5.715981694,15.96898288,0.995784033,17
16.64421172,7.767160957,17.28987656,-5.651114561,16.96704414,1.058023198,18
17.6423716,7.826769983,18.28783997,-5.586257635,17.96510579,1.120256174,19
18.64057013,7.886382125,19.28576407,-5.521392944,18.9631671,1.182494591,20
19.63876869,7.945994269,20.28368819,-5.456529159,19.96122844,1.244732555,21
20.63693229,8.005603071,21.28164786,-5.391671568,20.95929007,1.306965752,22
21.63514654,8.065214271,22.27955619,-5.326805341,21.95735137,1.369204465,23
22.63336107,8.124825487,23.27746478,-5.261947677,22.95541292,1.431438905,24
23.63152967,8.184433961,24.27541896,-5.197081863,23.95347431,1.493676049,25
24.62974399,8.244045165,25.27332734,-5.132217464,24.95153566,1.55591385,26
25.62795837,8.303656372,26.2712358,-5.067355425,25.94959709,1.618150473,27
26.62615936,8.36326678,27.26915783,-5.00249536,26.94765859,1.68038571,28
27.6243415,8.422876062,28.26709856,-4.937631949,27.94572003,1.742622057,29
28.62255603,8.482487278,29.26500716,-4.872774284,28.94378159,1.804856497,30
29.62075528,8.542097582,30.26293044,-4.80790648,29.94184286,1.867095551,31
30.61893915,8.601706968,31.26086992,-4.743050807,30.93990454,1.929328081,32
31.6171526,8.661318206,32.2587789,-4.678181986,31.93796575,1.99156811,33
32.6153349,8.720929379,33.25671972,-4.613324369,32.93602731,2.053802505,34
33.61351759,8.780540574,34.25465946,-4.548455596,33.93408852,2.116042489,35
34.61170508,8.84015179,35.25259508,-4.483597932,34.93215008,2.178276929,36
35.60991926,8.899762985,36.25050333,-4.418729158,35.93021129,2.240516914,37
36.60810018,8.959372195,37.24844578,-4.353873676,36.92827298,2.302749259,38
37.60630238,9.018982675,38.2463661,-4.28900568,37.92633424,2.364988498,39
38.60451691,9.078593891,39.24427469,-4.224148016,38.9243958,2.427222938,40
39.60269608,9.138202996,40.24221838,-4.159284077,39.92245723,2.489459459,41
40.60090004,9.197813581,41.24013746,-4.094424539,40.92051875,2.551694521,42
41.5991144,9.257424787,42.23804589,-4.029561781,41.91858015,2.613931503,43
42.59732874,9.317035992,43.2359543,-3.964698101,42.91664152,2.676168945,44
43.59549734,9.376644466,44.23390847,-3.899832288,43.91470291,2.738406089,45
44.59371187,9.436255682,45.23181707,-3.834974624,44.91276447,2.800640529,46
45.5919261,9.49586688,46.22972537,-3.770107677,45.91082574,2.862879601,47
46.59008675,9.555475861,47.22768802,-3.705250614,46.90888738,2.925112623,48
47.58828528,9.615088003,48.22561212,-3.64038611,47.9069487,2.987350946,49
48.58648383,9.674700146,49.22353623,-3.575522138,48.90501003,3.049589004,50
49.58464667,9.734308994,50.22149667,-3.510664684,49.90307167,3.111822155,51
50.58286092,9.793920194,51.21940499,-3.445798271,50.90113296,3.174060962,52
51.58107513,9.853531391,52.21731328,-3.380930596,51.8991942,3.236300398,53
52.57927844,9.913141938,53.2152331,-3.316072559,52.89725577,3.298534689,54
53.57745837,9.972751088,54.21317615,-3.25121058,53.89531726,3.360770254,55
54.57567275,10.03236229,55.2110846,-3.186348356,54.89337868,3.423006969,56
55.57387451,10.09197275,56.20900587,-3.121488426,55.89144019,3.485242161,57
56.57205588,10.15158199,57.20694737,-3.056624878,56.88950162,3.547478553,58
57.5702704,10.2111932,58.20485596,-2.991767214,57.88756318,3.609712994,59
58.56848458,10.2708044,59.20276421,-2.92689844,58.8856244,3.671952978,60
59.56666926,10.33041383,60.20070288,-2.862042715,59.88368607,3.734185557,61
60.56486771,10.39002409,61.19862698,-2.797174963,60.88174734,3.796424562,62
61.56306634,10.44963623,62.1965511,-2.732312465,61.87980872,3.858661882,63
62.5612335,10.5092465,63.19450673,-2.667448525,62.87787011,3.920898986,64
63.55941944,10.56885771,64.19244388,-2.602590505,63.87593166,3.983133603,65
64.55763363,10.62846891,65.19035214,-2.537722088,64.87399289,4.04537341,66
65.55581532,10.68807816,66.18829382,-2.472866556,65.87205457,4.107605804,67
66.55401676,10.7476886,67.18621491,-2.40799861,66.87011583,4.169844994,68
67.55223128,10.80729981,68.1841235,-2.343140946,67.86817739,4.232079434,69
68.55044555,10.86691101,69.18203183,-2.278274912,68.86623869,4.294318051,70
69.54861441,10.9265195,70.17998627,-2.213417469,69.86430034,4.356551018,71
70.54682859,10.9861307,71.17789451,-2.148548695,70.86236155,4.418791002,72
71.54504311,11.04574192,72.17580311,-2.083691031,71.86042311,4.481025442,73
72.54321172,11.10535039,73.17375728,-2.018825217,72.8584845,4.543262586,74
73.54142624,11.1649616,74.17166588,-1.953967553,73.85654606,4.605497026,75
74.53964048,11.2245728,75.16957419,-1.889100794,74.85460733,4.667736005,76
75.53784003,11.28418402,76.16749763,-1.824241115,75.85266883,4.72997145,77
