In_x,In_y,Out_x,Out_y,Center_x,Center_y
-0.32515835,6.753781355,0.32515835,-6.753781355,0,0
4.665789073,7.051833898,5.314825082,-6.429466588,4.990307077,0.311183655
9.656802533,7.349887968,10.30442588,-6.105155086,9.980614209,0.622366441
14.64778326,7.64793856,15.29405996,-5.78084865,14.97092161,0.933544955
19.63876869,7.945994269,20.28368819,-5.456529159,19.96122844,1.244732555
24.62974399,8.244045165,25.27332734,-5.132217464,24.95153566,1.55591385
29.62075528,8.542097582,30.26293044,-4.80790648,29.94184286,1.867095551
34.61170508,8.84015179,35.25259508,-4.483597932,34.93215008,2.178276929
39.60269608,9.138202996,40.24221838,-4.159284077,39.92245723,2.489459459
44.59371187,9.436255682,45.23181707,-3.834974624,44.91276447,2.800640529
49.58464667,9.734308994,50.22149667,-3.510664684,49.90307167,3.111822155
54.57567275,10.03236229,55.2110846,-3.186348356,54.89337868,3.423006969
59.56666926,10.33041383,60.20070288,-2.862042715,59.88368607,3.734185557
64.55763363,10.62846891,65.19035214,-2.537722088,64.87399289,4.04537341
69.54861441,10.9265195,70.17998627,-2.213417469,69.86430034,4.356551018
74.53964048,11.2245728,75.16957419,-1.889100794,74.85460733,4.667736005
79.5305753,11.52262612,80.1592538,-1.5647912,79.84491455,4.978917458
84.52160156,11.82067943,85.14884191,-1.240480719,84.83522174,5.290099355
89.51258208,12.11873001,90.13847579,-0.916167892,89.82552893,5.601281058
94.50356253,12.41678605,95.12810954,-0.591857353,94.81583604,5.912464347
99.49454297,12.71483662,100.1177433,-0.267541625,99.80614314,6.223647499
104.4855559,13.01288994,105.1073449,0.056765955,104.7964504,6.534827947
109.4765039,13.31094324,110.0970109,0.381083172,109.7867574,6.846013205
114.4675034,13.60899495,115.0866261,0.70539048,114.7770647,7.157192715
119.4584966,13.90704798,120.0762472,1.029701202,119.7673719,7.468374594
124.4494455,14.20510044,125.0659125,1.354015531,124.757679,7.779557987
129.4404719,14.50315376,130.0555007,1.67832311,129.7479863,8.090738435
134.4314545,14.80120706,135.0451319,2.002641798,134.7382932,8.401924428
139.4224327,15.09926037,140.0347683,2.326949378,139.7286005,8.713104876
144.413417,15.39731118,145.0243982,2.651264423,144.7189076,9.024287801
149.4044103,15.695366,150.0140193,2.975574573,149.7092148,9.335470287
154.3953743,15.99341758,155.0036698,3.29988425,154.699522,9.646650913
159.3864004,16.29147088,159.9932578,3.624198954,159.6898291,9.957834916
164.3773444,16.58952366,164.9829284,3.948505944,164.6801364,10.2690148
169.3683615,16.8875775,169.9725255,4.272819918,169.6704435,10.58019871
174.3593421,17.18562809,174.9621594,4.597129841,174.6607508,10.89137896
179.3503241,17.48368403,179.9517916,4.921440277,179.6510579,11.20256215
184.341303,17.7817347,184.941427,5.245756109,184.641365,11.5137454
189.3323106,18.0797869,189.9310337,5.570067009,189.6316722,11.82492695
194.3232638,18.37784131,194.9206945,5.894382377,194.6219792,12.13611185
199.3142515,18.67589232,199.9103217,6.21868744,199.6122866,12.44728988
204.3052708,18.97394521,204.8999166,6.543000921,204.6025937,12.75847307
209.2962055,19.27199852,209.8895962,6.867313264,209.5929008,13.06965589
214.2872319,19.57005184,214.8791844,7.191620996,214.5832081,13.38083642
219.2782244,19.86810314,219.868806,7.515937356,219.5735152,13.69202025
224.2691927,20.16615845,224.8584519,7.840247111,224.5638223,14.00320278
