InX,InY,OutX,OutY
-0.3251583497,6.753781355,0.3251583497,-6.753781355
1.671224779,6.873001045,2.321021118,-6.624057877
3.667618994,6.992223456,4.316872444,-6.494331439
5.663990703,7.111445867,6.312746277,-6.364605002
7.660373832,7.230665557,8.308609044,-6.234881524
9.656802533,7.349887968,10.30442588,-6.105155086
11.65318566,7.469107658,12.30028865,-5.975431609
13.64957702,7.588327839,14.29614312,-5.845707597
15.64599749,7.707549759,16.29196826,-5.715981694
17.6423716,7.826769983,18.28783997,-5.586257635
19.63876869,7.945994269,20.28368819,-5.456529159
21.63514654,8.065214271,22.27955619,-5.326805341
23.63152967,8.184433961,24.27541896,-5.197081863
25.62795837,8.303656372,26.2712358,-5.067355425
27.6243415,8.422876062,28.26709856,-4.937631949
29.62075528,8.542097582,30.26293044,-4.80790648
31.6171526,8.661318206,32.2587789,-4.678181986
33.61351759,8.780540574,34.25465946,-4.548455596
35.60991926,8.899762985,36.25050333,-4.418729158
37.60630238,9.018982675,38.2463661,-4.28900568
39.60269608,9.138202996,40.24221838,-4.159284077
41.5991144,9.257424787,42.23804589,-4.029561781
43.59549734,9.376644466,44.23390847,-3.899832288
45.5919261,9.49586688,46.22972537,-3.770107677
47.58828528,9.615088003,48.22561212,-3.64038611
49.58464667,9.734308994,50.22149667,-3.510664684
51.58107513,9.853531391,52.21731328,-3.380930596
53.57745837,9.972751088,54.21317615,-3.25121058
55.57387451,10.09197275,56.20900587,-3.121488426
57.5702704,10.2111932,58.20485596,-2.991767214
59.56666926,10.33041383,60.20070288,-2.862042715
61.56306634,10.44963623,62.1965511,-2.732312465
63.55941944,10.56885771,64.19244388,-2.602590505
65.55581532,10.68807816,66.18829382,-2.472866556
67.55223128,10.80729981,68.1841235,-2.343140946
69.54861441,10.9265195,70.17998627,-2.213417469
71.54504311,11.04574192,72.17580311,-2.083691031
73.54142624,11.1649616,74.17166588,-1.953967553
75.53784003,11.28418402,76.16749763,-1.824241115
77.53419898,11.40340602,78.16338427,-1.694515117
79.5305753,11.52262612,80.1592538,-1.5647912
81.52699358,11.64184791,82.15508114,-1.435065439
83.52338713,11.76106822,84.15093341,-1.305341286
85.51978823,11.88028898,86.14677806,-1.17561664
87.51619895,11.99951032,88.14261302,-1.04589137
89.51258208,12.11873001,90.13847579,-0.9161678923
91.50894941,12.23795242,92.13435401,-0.7864414552
93.50534801,12.35717483,94.13020095,-0.6567150172
95.50173114,12.47639452,96.12606371,-0.5269915396
97.49815984,12.59561693,98.12188055,-0.3972651024
99.49454297,12.71483662,100.1177433,-0.2675416248
101.4909665,12.83405872,102.1135654,-0.1378155229
103.4873549,12.95327873,104.109423,-0.008093909598
105.4837156,13.07249976,106.1053082,0.1216275583
107.4801126,13.19172306,108.1011563,0.2513606357
109.4765039,13.31094324,110.0970109,0.381083172
111.4729074,13.43016414,112.0928534,0.5108045031
113.4693159,13.54938535,114.0886907,0.6405261654
115.4656988,13.66860503,116.0845533,0.7702572906
117.4621276,13.78782745,118.0803702,0.8999802692
119.4584966,13.90704798,120.0762472,1.029701202
121.4548483,14.02626956,122.0721414,1.159423279
123.4512769,14.14549197,124.0679583,1.289149717
125.4476599,14.26471165,126.063821,1.418877366
127.4440858,14.3839339,128.0596409,1.548600154
129.4404719,14.50315376,130.0555007,1.67832311
131.436855,14.62237345,132.0513635,1.808046587
133.4332719,14.74159586,134.0471922,1.937773025
135.4296293,14.86081778,136.0430804,2.067498924
137.4260265,14.98003931,138.0389288,2.197224401
139.4224327,15.09926037,140.0347683,2.326949378
141.4188159,15.21848006,142.030631,2.456672855
143.4152446,15.33770248,144.0264479,2.586399293
145.4116277,15.45692216,146.0223106,2.716122771
147.4080132,15.57614199,148.018171,2.8458464
149.4044103,15.695366,150.0140193,2.975574573
151.4007768,15.81458668,152.0098986,3.105299123
153.3972048,15.93380905,154.0057161,3.235025518
155.3935886,16.05302878,156.0015782,3.364749038
157.3899717,16.17224847,157.9974409,3.494472516
159.3864004,16.29147088,159.9932578,3.624198954
161.3827835,16.41069057,161.9891205,3.753922431
163.3791704,16.52991298,163.9849792,3.883648869
165.3755495,16.64913539,165.9808457,4.013375307
167.3719327,16.76835508,167.9767085,4.14309694
169.3683615,16.8875775,169.9725255,4.272819918
171.3647444,17.00679718,171.9683881,4.402548699
173.3611322,17.12601715,173.9642463,4.532271357
175.3575564,17.24523929,175.9600678,4.661994037
177.3539269,17.36445974,177.9559433,4.791714871
179.3503241,17.48368403,179.9517916,4.921440277
181.3467054,17.6029038,181.9476557,5.051171119
183.3430887,17.7221235,183.9435186,5.180891133
185.3395175,17.84134592,185.9393356,5.310614112
187.3359006,17.96056561,187.9351983,5.44033725
189.3323106,18.0797869,189.9310337,5.570067009
191.328708,18.19900797,191.9268823,5.699788515
193.3250694,18.31823012,193.9227666,5.829513603
195.3214784,18.43745253,195.9186031,5.959240041
197.3178615,18.55667222,197.9144659,6.088963519
199.3142515,18.67589232,199.9103217,6.21868744
201.3106733,18.79511432,201.9061455,6.348413434
203.3070565,18.91433401,203.9020082,6.478136911
205.3034852,19.03355642,205.8978251,6.607863348
207.2998406,19.15277776,207.8937154,6.737588614
209.2962055,19.27199852,209.8895962,6.867313264
211.2926342,19.39122093,211.885413,6.997039702
213.2890173,19.51044062,213.8812758,7.126763179
215.2854297,19.62966206,215.8771091,7.256488557
217.2818292,19.74888272,217.8729554,7.386213094
219.2782244,19.86810314,219.868806,7.515937356
221.2746216,19.98732598,221.8646543,7.645664263
223.2709782,20.10654724,223.8605433,7.775389447
225.2673704,20.22576747,225.8563969,7.905113515
227.2637901,20.34498934,227.8522229,8.034839362
229.2601732,20.46420903,229.8480857,8.16456284
231.2566019,20.58343144,231.8439026,8.294287789
233.252985,20.70265113,233.8397653,8.424012755
235.2493915,20.82187354,235.8356044,8.553739192
237.2457541,20.94109577,237.8314874,8.683464668
239.2421342,21.06031565,239.8273534,8.813184887
241.2385489,21.17953723,241.8231845,8.94290695
243.2349462,21.29875776,243.8190332,9.072627913
245.2313435,21.41797829,245.8148813,9.202359937
247.2277579,21.53719986,247.8107127,9.332081984
249.2241383,21.65641972,249.8065784,9.461802183
251.2205012,21.77564196,251.8024611,9.591527744
253.216907,21.89486437,253.7983006,9.721259065
255.2132902,22.01408406,255.7941634,9.85097908
257.209719,22.13330648,257.7899803,9.980704096
259.2061021,22.25252617,259.7858431,10.11042757
261.202522,22.37174805,261.7816688,10.24015344
263.1989139,22.49096827,263.7775227,10.36987749
265.1952709,22.61018951,265.7734115,10.49960266
267.191668,22.72941238,267.7692598,10.6293296
269.188063,22.84863278,269.7651106,10.75905384
271.1844627,22.96785346,271.7609567,10.8887784
273.1808748,23.08707488,273.7567902,11.01850376
275.1772579,23.20629457,275.752653,11.14822724
277.1736866,23.32551698,277.7484698,11.27795367
279.1700518,23.44473773,279.7443504,11.4076783
281.166407,23.56395908,281.7402409,11.53740359
283.1628357,23.68318149,283.7360578,11.66713003
285.1592188,23.80240118,285.7319205,11.7968535
287.1556409,23.9216232,287.727744,11.92657951
289.1520306,24.04084329,289.7236001,12.05630342
291.1484138,24.16006297,291.7194629,12.1860269
293.1448233,24.27928539,293.7152989,12.31575333
295.1411844,24.39850752,295.7111835,12.44547834
297.1375817,24.51772861,297.7070319,12.57520447
299.1339915,24.6369499,299.7028677,12.70492969
301.1303747,24.75616959,301.6987305,12.83465276
303.1268035,24.87539201,303.6945474,12.96437574
305.1231867,24.9946117,305.6904103,13.09409575
307.1195686,25.11383148,307.6862745,13.22381585
309.1159655,25.23305575,309.6821225,13.35355198
311.1123357,25.35227621,311.6779982,13.48327283
313.1087602,25.47149837,313.6738195,13.61299553
315.1051477,25.59071832,315.6696779,13.74271824
317.1015307,25.709938,317.6655405,13.87244695
319.0979595,25.82916042,319.6613575,14.00216993
321.0943427,25.94838011,321.6572203,14.13189163
323.0907222,26.06760252,323.6530863,14.26161807
325.0871086,26.18682494,325.6489455,14.39134451
327.0834917,26.30604463,327.6448082,14.52106798
329.0799204,26.42526704,329.6406251,14.65079442
331.0763035,26.54448673,331.6364879,14.7805179
333.0726876,26.66370647,333.6323497,14.91024144
335.0691154,26.78292883,335.6281675,15.03996781
337.0794391,26.91495619,337.6091361,15.17126613
339.0495516,27.04613759,339.6302573,15.3046947
341.1237367,27.18400162,341.5472998,15.43134311
343.0961962,27.31254492,343.566338,15.56328347
345.0706306,27.44171306,345.5835272,15.69269617
347.1225834,27.57864383,347.5231281,15.8151694
349.0341359,27.70259506,349.6034061,15.94646963
351.098741,27.83760731,351.5305556,16.06747121
353.0772148,27.96510962,353.5440524,16.1931961
355.0565265,28.09472962,355.5566493,16.31750209
357.0369565,28.22441444,357.5680512,16.442987
359.0187282,28.35613427,359.5778298,16.57051605
360.9974165,28.48744646,361.5906955,16.69876175
362.9752039,28.62005762,363.604227,16.8294382
365.0540431,28.76213249,365.516357,16.95576154
367.0264504,28.90091149,367.5345728,17.09034471
368.9955909,29.04029361,369.5560077,17.22518001
370.9610327,29.18022328,371.5810781,17.36030921
373.026756,29.32876746,373.5058986,17.48644493
374.9895965,29.46957525,375.5335661,17.62079697
376.9539262,29.61203824,377.5594884,17.75730742
378.9164677,29.75406132,379.5871247,17.89523115
380.9784521,29.90624548,381.5149105,18.02846422
382.9388722,30.04773237,383.5446064,18.16778481
384.9705665,30.19691632,385.5029722,18.30032199
386.9601388,30.34283087,387.5035059,18.4350536
388.9183611,30.48605753,389.5354331,18.57217714
390.9740144,30.63784491,391.4699787,18.70001156
392.9295038,30.78212807,393.5047535,18.83427601
394.9562933,30.93444736,395.4681401,18.96160851
396.9376442,31.08153456,397.4772236,19.09026816
398.8900795,31.22473805,399.5152881,19.22233976
400.938476,31.37429912,401.4573375,19.34875358
402.8888519,31.51492818,403.4975987,19.48149206
404.9349317,31.66224163,405.4422065,19.60641029
406.8844595,31.80263403,407.4831834,19.74132954
408.9286779,31.94815428,409.4294134,19.8717432
410.8757217,32.08583088,411.4728343,20.00996215
412.9169649,32.2316451,413.4219645,20.14123473
414.8622991,32.37070236,415.4668627,20.28131838
416.8996891,32.5135668,417.4199021,20.41488402
418.9352948,32.65336134,419.3749896,20.54769093
420.8758105,32.78509674,421.425385,20.68524048
422.8907458,32.92235633,423.4014074,20.81666927
424.8656097,33.05737045,425.4175813,20.9491387
426.8779305,33.19562337,427.3965746,21.07411391
428.8134727,33.32905533,429.452258,21.20531949
430.8402355,33.47282529,431.4165301,21.32905206
432.8647275,33.61702203,433.3830916,21.45209822
434.8448225,33.75820844,435.3940348,21.57834492
436.8165911,33.8981346,437.4133142,21.70568119
438.8360523,34.04171948,439.3849197,21.82907698
440.8553062,34.18248743,441.3569382,21.95208453
442.8740622,34.3226868,443.3293865,22.07680435
444.8670889,34.45923312,445.3275701,22.20494747
446.8183154,34.59061651,447.3675875,22.33785437
448.8336742,34.72532097,449.3435337,22.46637638
450.8476701,34.85827013,451.3207861,22.59770052
452.8106681,34.98645283,453.3490228,22.73397032
454.7835291,35.11638031,455.3673132,22.86982896
456.7950259,35.24659022,457.3470633,23.00400047
458.8045644,35.37305744,459.3291303,23.13636652
460.8112334,35.49771163,461.3142179,23.26825415
462.8187477,35.62334947,463.2983566,23.40069913
464.8249,35.74704718,465.2838815,23.53478393
466.8298374,35.8694156,467.2707308,23.66842202
468.7472968,35.98775008,469.3449294,23.80816645
470.7499905,36.11494932,471.3335739,23.94373778
472.7523326,36.24496682,473.3223516,24.07994403
474.7549838,36.3775182,475.310686,24.21547113
476.7584987,36.5125625,477.2980596,24.35008126
478.763887,36.65029332,479.2834867,24.48314314
480.7049659,36.784488,481.3334669,24.61602692
482.7009222,36.92323722,483.3291063,24.73604964
484.7166194,37.06438297,485.3053656,24.84804795
486.7401067,37.20688879,487.274209,24.95220864
488.6876355,37.34454837,489.3189997,25.06162658
490.7161079,37.48822573,491.2821538,25.17579211
492.6679357,37.62749154,493.3209478,25.30999976
494.6979093,37.77348365,495.2807531,25.44937389
496.7264932,37.91987462,497.2411559,25.59942707
498.6851808,38.06249881,499.2703131,25.76817856
500.6467796,38.20798013,501.2952085,25.95089442
502.6756356,38.36613415,503.2508727,26.1440505
504.6337678,38.52032359,505.2746998,26.36842777
506.5882693,38.68029146,507.2992158,26.61722986
508.599345,38.85204961,509.2662361,26.86267653
510.5375855,39.0301034,511.3044001,27.11787364
512.4148832,39.23652487,513.3992377,27.38225498
514.2227034,39.49301399,515.5549357,27.66365398
515.9479003,39.80983529,517.7795224,27.97545563
517.6648237,40.22237364,519.9814323,28.35491985
519.3343031,40.73595723,522.1803259,28.84878929
520.9157752,41.35436113,524.3917054,29.4900518
522.4268437,42.07528027,526.5748059,30.29212969
523.7701275,42.8426647,528.8022401,31.31872023
525.0869677,43.75129756,530.8971387,32.48845058
526.2135956,44.68231079,533.0123692,33.89142715
527.2418853,45.68938708,535.0261275,35.47142569
528.1876288,46.77865324,536.9191317,37.18944557
529.0985987,48.02978216,538.6126725,38.96264706
529.8330893,49.2125261,540.2836148,40.96341154
530.4576604,50.42207021,541.8215331,43.10546075
530.9590229,51.59590419,543.2457463,45.42481401
531.3650783,52.77295025,544.4688064,47.89163971
531.6888602,54.03846011,545.4166497,50.41125164
531.9205674,55.34642314,546.0870989,52.99469229
532.09246,56.86903914,546.4566221,55.43237853
532.1894895,58.3469248,546.5890074,57.9465519
532.2041297,59.6278382,546.4652033,60.66277065
532.1298568,61.17372324,546.1192267,63.09286094
531.9719089,62.75509171,545.5746438,65.44535853
531.7692665,64.11380547,544.7640079,67.95053281
531.4533334,65.53293184,543.8052325,70.31509638
531.0716712,66.79747256,542.653329,72.74111625
530.6008584,68.0523541,541.3857773,75.08356041
529.9692698,69.43346608,540.0709591,77.1915465
529.3264834,70.60079583,538.537124,79.37669209
528.5005841,71.87102547,536.9803614,81.31545705
527.5592236,73.09694459,535.3231432,83.12729954
526.6640831,74.09198583,533.3560658,84.9218548
525.4146954,75.23940257,531.4990636,86.28773707
524.1814431,76.1907942,529.3942143,87.53112487
522.8716471,77.02335684,527.1717394,88.56515083
521.3534014,77.79700736,525.0263691,89.39060251
519.7776691,78.4556487,522.8480648,90.10985424
518.1974465,79.0132706,520.6161535,90.76071201
516.5008487,79.48626367,518.4460758,91.31044354
514.7311821,79.88175957,516.3161242,91.80400829
512.8599168,80.22978233,514.2643444,92.23502865
511.0970796,80.52417352,512.0888987,92.63648347
509.0750116,80.83523539,510.1632288,92.96419196
507.2906225,81.08975784,507.9957866,93.32034306
505.3678648,81.33712066,505.9597149,93.63020214
503.3883249,81.58408188,503.9799536,93.93024804
501.4474326,81.82870941,501.9608357,94.224771
499.3963557,82.10755374,500.0509988,94.48716237
497.415273,82.38386203,498.0724195,94.76074718
495.3501248,82.69432718,496.1812592,95.0273799
493.3559873,82.99935624,494.2200753,95.30838175
491.283787,83.32798603,492.337356,95.57172907
489.2827202,83.65573875,490.3850079,95.84795758
487.265716,83.98118101,488.4477138,96.12387056
485.2773202,84.29744055,486.4805956,96.4015992
483.2221125,84.62445546,484.5808697,96.67295162
481.2956986,84.92927736,482.5523423,96.96676778
479.3033182,85.23941886,480.5894685,97.25311781
477.3077837,85.5512677,478.6305475,97.5430409
475.3614431,85.85190688,476.6233971,97.85040563
473.4078221,86.15137197,474.6240208,98.16211927
471.4233493,86.4609729,472.6567803,98.47187101
469.4310514,86.76588354,470.6978133,98.78894939
467.5235867,87.05570624,468.6546312,99.12502673
465.534717,87.36252027,466.6942589,99.45230414
463.5195274,87.66488317,464.7594394,99.77891159
461.5480714,87.95811646,462.7817473,100.1202172
459.5500178,88.27218765,460.8332671,100.4564002
457.5942351,88.58728586,458.8428951,100.7942784
455.6070982,88.91629858,456.885232,101.1263355
453.5885097,89.25468544,454.9595909,101.4524634
451.6226335,89.5868246,452.9817152,101.7877736
449.6955677,89.92006699,450.9652275,102.1226995
447.7119964,90.26943406,449.0058514,102.4457458
445.7196743,90.61843964,447.0542101,102.7626356
443.7688467,90.95535633,445.0586765,103.077979
441.7915451,91.28994643,443.0879403,103.3841066
439.8428648,91.61235696,441.0857842,103.6856818
437.8923126,91.93562753,439.0851913,103.9846492
435.9099741,92.26037866,437.1166955,104.282429
433.8722041,92.59217178,435.2041776,104.5784005
431.964589,92.90842537,433.1638664,104.9021748
429.9493831,93.2443912,431.236047,105.232318
427.9371242,93.61200417,429.3228338,105.6251012
425.8287237,94.04816472,427.5288922,106.060191
423.7047725,94.5827502,425.790418,106.5590194
421.5719034,95.25777993,424.1317622,107.1514446
419.3482916,96.14762833,422.6736577,107.8173033
417.1585412,97.2791553,421.348573,108.5877273
415.0424142,98.66432584,420.1575314,109.4463198
413.0959848,100.250626,419.0604356,110.4497887
411.261802,102.1257664,418.1624656,111.4903245
409.5926723,104.3134401,417.4815059,112.5337217
408.1620789,106.7710087,416.9741671,113.5708738
407.0298592,109.3582868,416.6009371,114.6851754
406.190535,112.1449691,416.3833597,115.7522699
405.7391159,114.6144857,416.2615539,117.2354903
405.5276984,117.3341585,416.3063781,118.5056383
405.5782019,120.0707351,416.4917756,119.7536586
405.8575476,122.6862998,416.8067625,121.0848961
406.3058087,125.0635878,417.2732316,122.5928413
406.9622959,127.5690647,417.741947,123.9182299
407.7144372,129.8159473,418.3139704,125.440506
408.4665353,131.8048485,418.9867999,127.1852728
409.21903,133.750558,419.6847754,128.9633847
409.9250992,135.5899246,420.4146525,130.8542382
410.6693196,137.5356249,421.1087505,132.6377365
411.3938922,139.4386538,421.818839,134.4665349
412.1708388,141.4651006,422.4607832,136.1784177
412.8752647,143.3164676,423.1681386,138.0688128
413.5917935,145.2017811,423.8483869,139.9312043
414.3255274,147.1538953,424.5000575,141.731203
415.0445456,149.0723841,425.1640589,143.5657794
415.6982519,150.8398361,425.8777153,145.5572318
416.3914772,152.7252693,426.5512387,147.4309226
417.1163127,154.6996494,427.1961692,149.2145708
417.8311842,156.6309114,427.8631782,151.0369803
418.5234943,158.4778695,428.5659043,152.9388162
419.2471191,160.391627,429.2490239,154.7694998
419.9719145,162.2967898,429.939002,156.6057453
420.6813659,164.1445134,430.6517265,158.4966527
421.4118829,166.0348262,431.3525754,160.3414556
422.1398642,167.9056004,432.066438,162.2017638
422.8691486,169.771361,432.7845858,164.0649156
423.6119684,171.6624408,433.4914246,165.9018646
424.3445972,173.5235207,434.2095786,167.7683923
425.0752459,175.3888076,434.9226387,169.6334606
425.7727407,177.1710288,435.6653905,171.5829415
426.5258034,179.0990784,436.3464433,173.3889269
427.2431507,180.9453988,437.0590644,175.2782513
427.937994,182.7388074,437.7887296,177.2225761
428.6614464,184.6237472,438.4819467,179.0783292
429.3313814,186.4172818,439.2030871,181.0350738
429.8951457,188.0345368,439.9600926,183.1933312
430.393044,189.6577593,440.6571428,185.3871207
430.7988368,191.2270096,441.2981523,187.6780578
431.1061646,192.7381289,441.8549659,190.0717327
431.3000782,194.1412371,442.3033867,192.6156112
431.3836047,195.5027949,442.5538828,195.238603
431.3595258,196.8223127,442.5726188,197.917703
431.2421679,198.0026829,442.3206625,200.7184139
430.9805891,199.374303,441.8185162,203.2714534
430.6502026,200.6185711,441.0417253,205.8695669
430.1819381,201.9111763,440.0450491,208.2968237
429.6552575,203.0315276,438.7180415,210.7186233
428.9607225,204.1983949,437.1736091,212.8629485
428.1395335,205.2930776,435.3896058,214.8001113
427.196755,206.3217985,433.4255595,216.515252
426.1229382,207.2691753,431.3172187,217.9868597
424.8361807,208.1714765,429.1883021,219.1612547
423.5407132,208.8876288,426.8687347,220.1524004
422.0573327,209.5079259,424.5906207,220.8866969
420.5575989,209.950668,422.2177436,221.4387407
418.8938018,210.2557516,419.9363749,221.7861677
417.2827815,210.4102368,417.5638253,221.9825065
415.4261157,210.4615955,415.4222711,222.02308
413.5555436,210.4427625,413.2935452,221.9914893
411.6891594,210.3937822,411.1626956,221.9073153
409.8292021,210.3097054,409.0293077,221.8017378
407.9485525,210.2180726,406.917082,221.7060036
406.0032732,210.1062093,404.8718834,221.6095415
404.1176931,209.985242,402.7685904,221.5163569
402.0525759,209.849433,400.8466057,221.4254801
400.0855955,209.7288105,398.8240283,221.3419909
398.0760467,209.5927662,396.8453604,221.2473699
396.0611367,209.4657027,394.8706343,221.1630222
394.0079644,209.3271633,392.9346783,221.0748257
391.9426795,209.2006124,391.0090676,220.9868838
390.0092322,209.0954358,388.9498991,220.8822441
387.9421796,208.9794842,387.0251456,220.7793301
385.8221566,208.8632703,385.1525973,220.6817845
383.887333,208.7627385,383.0940543,220.5723336
381.858343,208.6590525,381.1294497,220.468138
379.798528,208.5524066,379.195606,220.3668378
377.7676035,208.4487203,377.2324894,220.2655377
375.8419617,208.3559298,375.1635983,220.1585558
373.7739922,208.2533876,373.2370244,220.0609324
371.6905759,208.1479262,371.3260627,219.9633162
369.7193703,208.0534476,369.3022664,219.8625634
367.6776945,207.9595574,367.3485356,219.7682228
